organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,lit_taxon_type_ord,target_genus,lit_genus,target_family,lit_family,database,trait_record_id,citation,population_state,population_description,study_latitude,study_longitude,trait_group,trait_value,trait_unit
2850,Lumbriculus variegatus,Species,Lumbriculus spp.,genus,congener,3,Lumbriculus,Lumbriculus,Lumbriculidae,Lumbriculidae,USGS,7607,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,100,mm
2970,Mooreobdella microstoma,Species,Mooreobdella microstoma,species,target,1,Mooreobdella,Mooreobdella,Erpobdellidae,Glossiphoniidae,USGS,6442,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,40,mm
2970,Mooreobdella microstoma,Species,Mooreobdella microstoma,species,target,1,Mooreobdella,Mooreobdella,Erpobdellidae,Glossiphoniidae,USGS,7988,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,50,mm
2970,Mooreobdella microstoma,Species,Mooreobdella melanostoma,genus,congener,3,Mooreobdella,Mooreobdella,Erpobdellidae,Erpobdellidae,USGS,6438,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,55,mm
2970,Mooreobdella microstoma,Species,Mooreobdella bucera,genus,congener,3,Mooreobdella,Mooreobdella,Erpobdellidae,Erpobdellidae,USGS,6440,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,Michigan,NA,NA,NA,body_size_max,20,mm
2970,Mooreobdella microstoma,Species,Mooreobdella tetragon,genus,congener,3,Mooreobdella,Mooreobdella,Erpobdellidae,Erpobdellidae,USGS,6443,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,40,mm
2970,Mooreobdella microstoma,Species,Mooreobdella fervida,genus,congener,3,Mooreobdella,Mooreobdella,Erpobdellidae,Glossiphoniidae,USGS,6441,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,30,mm
2970,Mooreobdella microstoma,Species,Mooreobdella fervida,genus,congener,3,Mooreobdella,Mooreobdella,Erpobdellidae,Glossiphoniidae,USGS,7987,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,50,mm
2970,Mooreobdella microstoma,Species,Dina anoculata,genus,congener_synonym,4,Mooreobdella,Dina,Erpobdellidae,Erpobdellidae,USGS,6439,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Pacific Northwest (coastal),NA,NA,body_size_max,12.5,mm
2970,Mooreobdella microstoma,Species,Dina dubia,genus,congener_synonym,4,Mooreobdella,Dina,Erpobdellidae,Erpobdellidae,USGS,6444,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,40,mm
2970,Mooreobdella microstoma,Species,Dina parva,genus,congener_synonym,4,Mooreobdella,Dina,Erpobdellidae,Erpobdellidae,USGS,6445,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,27.5,mm
2970,Mooreobdella microstoma,Species,Erpobdella punctata,family,confamilial,5,Mooreobdella,Erpobdella,Erpobdellidae,Erpobdellidae,USGS,6435,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,1000,mm
2970,Mooreobdella microstoma,Species,Erpobdella montezuma,family,confamilial,5,Mooreobdella,Erpobdella,Erpobdellidae,Erpobdellidae,USGS,6436,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,Arizona,NA,NA,NA,body_size_max,800,mm
2970,Mooreobdella microstoma,Species,Nephelopsis obscura,family,confamilial,5,Mooreobdella,Nephelopsis,Erpobdellidae,Erpobdellidae,USGS,6437,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,1000,mm
2970,Mooreobdella microstoma,Species,Nephelopsis obscura,family,confamilial,5,Mooreobdella,Nephelopsis,Erpobdellidae,Erpobdellidae,USGS,7931,Ecology and Classification of North American Freshwater Invertebrates.,NA,NA,NA,NA,body_size_max,100,mm
3430,Manayunkia speciosa,Species,Manayunkia eriensis,species,synonym,2,Manayunkia,Manayunkia,Fabriciidae,Sabellidae,USGS,6373,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
3450,Laonome calida,Species,Manayunkia eriensis,family,confamilial,5,Laonome,Manayunkia,Sabellidae,Sabellidae,USGS,6373,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
4350,Gnorimosphaeroma insulare,Species,Sphaeroma terebrans,family,confamilial,5,Gnorimosphaeroma,Sphaeroma,Sphaeromatidae,Sphaeromatidae,USGS,6477,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Gulf Coast / Delta Area (TX - FL),NA,NA,body_size_max,10,mm
4350,Gnorimosphaeroma insulare,Species,Thermosphaeroma spp.,family,confamilial,5,Gnorimosphaeroma,Thermosphaeroma,Sphaeromatidae,Sphaeromatidae,USGS,6478,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Desert Southwest,NA,NA,body_size_max,10,mm
4350,Gnorimosphaeroma insulare,Species,Sphaeromatidae,family,confamilial,5,Gnorimosphaeroma,NA,Sphaeromatidae,Sphaeromatidae,USGS,6473,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,10,mm
4370,Gnorimosphaeroma oregonense,Species,Sphaeroma terebrans,genus,congener_synonym,4,Gnorimosphaeroma,Sphaeroma,Sphaeromatidae,Sphaeromatidae,USGS,6477,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Gulf Coast / Delta Area (TX - FL),NA,NA,body_size_max,10,mm
4370,Gnorimosphaeroma oregonense,Species,Thermosphaeroma spp.,family,confamilial,5,Gnorimosphaeroma,Thermosphaeroma,Sphaeromatidae,Sphaeromatidae,USGS,6478,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Desert Southwest,NA,NA,body_size_max,10,mm
4370,Gnorimosphaeroma oregonense,Species,Sphaeromatidae,family,confamilial,5,Gnorimosphaeroma,NA,Sphaeromatidae,Sphaeromatidae,USGS,6473,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,10,mm
4750,Gammarus daiberi,Species,Gammarus spp.,genus,congener,3,Gammarus,Gammarus,Gammaridae,Gammaridae,USGS,6501,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,25,mm
4750,Gammarus daiberi,Species,Gammarus fasciatus,genus,congener,3,Gammarus,Gammarus,Gammaridae,Gammaridae,USGS,6507,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,14,mm
4750,Gammarus daiberi,Species,Gammarus pseudolimnaeus,genus,congener,3,Gammarus,Gammarus,Gammaridae,Gammaridae,USGS,6508,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,17,mm
4750,Gammarus daiberi,Species,Gammarus minus,genus,congener,3,Gammarus,Gammarus,Gammaridae,Gammaridae,USGS,6509,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Mid-Midwest,NA,NA,body_size_max,14,mm
4750,Gammarus daiberi,Species,Gammarus lacustris,genus,congener,3,Gammarus,Gammarus,Gammaridae,Gammaridae,USGS,6510,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,22,mm
4750,Gammarus daiberi,Species,Allocrangonyx spp.,family,confamilial,5,Gammarus,Allocrangonyx,Gammaridae,Gammaridae,USGS,6511,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Mid-Midwest,NA,NA,body_size_max,22,mm
4750,Gammarus daiberi,Species,Anisogammarus spp.,family,confamilial,5,Gammarus,Anisogammarus,Gammaridae,Gammaridae,USGS,6500,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Pacific Northwest (coastal),NA,NA,body_size_max,11,mm
4750,Gammarus daiberi,Species,Gammaridae,family,confamilial,5,Gammarus,NA,Gammaridae,Gammaridae,USGS,6496,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,12.5,mm
4810,Hyalella,Genus,Hyalella azteca,genus,congener,3,Hyalella,Hyalella,Hyalellidae,Hyalellidae,USGS,6498,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,6,mm
5410,Procladius,Genus,Boreoheptagyia spp.,family,confamilial,5,Procladius,Boreoheptagyia,Chironomidae,Chironomidae,USGS,10213,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,6,mm
5410,Procladius,Genus,Cardiocladius spp.,family,confamilial,5,Procladius,Cardiocladius,Chironomidae,Chironomidae,USGS,8315,Cardiocladius (Diptera: Chironomidae) larvae ectoparasitic on pupae of Hydropsychidae (Trichoptera).,Virginia,NA,NA,NA,body_size_max,14,mm
5410,Procladius,Genus,Chironomus spp.,family,confamilial,5,Procladius,Chironomus,Chironomidae,Chironomidae,USGS,5732,"The biology of Chironomus plumosus (Diptera: Chironomidae) in Lake Winnebago, Wisconsin",Wisconsin,NA,NA,NA,body_size_max,18,mm
5410,Procladius,Genus,Corynoneura spp.,family,confamilial,5,Procladius,Corynoneura,Chironomidae,Chironomidae,USGS,10222,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,3,mm
5410,Procladius,Genus,Diamesa spp.,family,confamilial,5,Procladius,Diamesa,Chironomidae,Chironomidae,USGS,10212,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,10,mm
5410,Procladius,Genus,Epoicocladius spp.,family,confamilial,5,Procladius,Epoicocladius,Chironomidae,Chironomidae,USGS,10220,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,1,mm
5410,Procladius,Genus,Eukiefferiella spp.,family,confamilial,5,Procladius,Eukiefferiella,Chironomidae,Chironomidae,USGS,10215,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,5,mm
5410,Procladius,Genus,Metriocnemus spp.,family,confamilial,5,Procladius,Metriocnemus,Chironomidae,Chironomidae,USGS,10218,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,8,mm
5410,Procladius,Genus,Orthocladius spp.,family,confamilial,5,Procladius,Orthocladius,Chironomidae,Chironomidae,USGS,10216,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,6,mm
5410,Procladius,Genus,Parakiefferiella spp.,family,confamilial,5,Procladius,Parakiefferiella,Chironomidae,Chironomidae,USGS,10221,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,2,mm
5410,Procladius,Genus,Paraphaenocladius spp.,family,confamilial,5,Procladius,Paraphaenocladius,Chironomidae,Chironomidae,USGS,10219,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,2,mm
5410,Procladius,Genus,Pseudodiamesa spp.,family,confamilial,5,Procladius,Pseudodiamesa,Chironomidae,Chironomidae,USGS,6090,"Chironomidae (Diptera) of Char Lake , Cornwallis Island, N.W.T.",NA,Pacific Northwest (coastal),74 42' N,95 53' W,body_size_max,13,mm
5410,Procladius,Genus,Pseudodiamesa spp.,family,confamilial,5,Procladius,Pseudodiamesa,Chironomidae,Chironomidae,USGS,10211,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,13,mm
5410,Procladius,Genus,Rheocricotopus spp.,family,confamilial,5,Procladius,Rheocricotopus,Chironomidae,Chironomidae,USGS,10217,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,5,mm
5410,Procladius,Genus,Chironomidae,family,confamilial,5,Procladius,NA,Chironomidae,Chironomidae,USGS,11654,Growth rates and prey selection of two congeneric predatory caddisflies,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,11,mm
5550,Cryptochironomus,Genus,Boreoheptagyia spp.,family,confamilial,5,Cryptochironomus,Boreoheptagyia,Chironomidae,Chironomidae,USGS,10213,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,6,mm
5550,Cryptochironomus,Genus,Cardiocladius spp.,family,confamilial,5,Cryptochironomus,Cardiocladius,Chironomidae,Chironomidae,USGS,8315,Cardiocladius (Diptera: Chironomidae) larvae ectoparasitic on pupae of Hydropsychidae (Trichoptera).,Virginia,NA,NA,NA,body_size_max,14,mm
5550,Cryptochironomus,Genus,Chironomus spp.,family,confamilial,5,Cryptochironomus,Chironomus,Chironomidae,Chironomidae,USGS,5732,"The biology of Chironomus plumosus (Diptera: Chironomidae) in Lake Winnebago, Wisconsin",Wisconsin,NA,NA,NA,body_size_max,18,mm
5550,Cryptochironomus,Genus,Corynoneura spp.,family,confamilial,5,Cryptochironomus,Corynoneura,Chironomidae,Chironomidae,USGS,10222,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,3,mm
5550,Cryptochironomus,Genus,Diamesa spp.,family,confamilial,5,Cryptochironomus,Diamesa,Chironomidae,Chironomidae,USGS,10212,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,10,mm
5550,Cryptochironomus,Genus,Epoicocladius spp.,family,confamilial,5,Cryptochironomus,Epoicocladius,Chironomidae,Chironomidae,USGS,10220,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,1,mm
5550,Cryptochironomus,Genus,Eukiefferiella spp.,family,confamilial,5,Cryptochironomus,Eukiefferiella,Chironomidae,Chironomidae,USGS,10215,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,5,mm
5550,Cryptochironomus,Genus,Metriocnemus spp.,family,confamilial,5,Cryptochironomus,Metriocnemus,Chironomidae,Chironomidae,USGS,10218,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,8,mm
5550,Cryptochironomus,Genus,Orthocladius spp.,family,confamilial,5,Cryptochironomus,Orthocladius,Chironomidae,Chironomidae,USGS,10216,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,6,mm
5550,Cryptochironomus,Genus,Parakiefferiella spp.,family,confamilial,5,Cryptochironomus,Parakiefferiella,Chironomidae,Chironomidae,USGS,10221,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,2,mm
5550,Cryptochironomus,Genus,Paraphaenocladius spp.,family,confamilial,5,Cryptochironomus,Paraphaenocladius,Chironomidae,Chironomidae,USGS,10219,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,2,mm
5550,Cryptochironomus,Genus,Pseudodiamesa spp.,family,confamilial,5,Cryptochironomus,Pseudodiamesa,Chironomidae,Chironomidae,USGS,6090,"Chironomidae (Diptera) of Char Lake , Cornwallis Island, N.W.T.",NA,Pacific Northwest (coastal),74 42' N,95 53' W,body_size_max,13,mm
5550,Cryptochironomus,Genus,Pseudodiamesa spp.,family,confamilial,5,Cryptochironomus,Pseudodiamesa,Chironomidae,Chironomidae,USGS,10211,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,13,mm
5550,Cryptochironomus,Genus,Rheocricotopus spp.,family,confamilial,5,Cryptochironomus,Rheocricotopus,Chironomidae,Chironomidae,USGS,10217,Distribution of invertebrates in a high mountain brook in the Colorado Rocky Mountains.,Colorado,NA,NA,NA,body_size_max,5,mm
5550,Cryptochironomus,Genus,Chironomidae,family,confamilial,5,Cryptochironomus,NA,Chironomidae,Chironomidae,USGS,11654,Growth rates and prey selection of two congeneric predatory caddisflies,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,11,mm
6490,Fluminicola,Genus,Fluminicola spp.,genus,congener,3,Fluminicola,Fluminicola,Lithoglyphidae,Hydrobiidae,USGS,6646,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Pacific Northwest (coastal),NA,NA,body_size_max,7,mm
6530,Gyraulus circumstriatus,Species,Amphigyra alabamensis,family,confamilial,5,Gyraulus,Amphigyra,Planorbidae,Planorbidae,USGS,6654,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,Alabama,NA,NA,NA,body_size_max,2,mm
6530,Gyraulus circumstriatus,Species,Armiger crista,family,confamilial,5,Gyraulus,Armiger,Planorbidae,Planorbidae,USGS,6281,Ecology and Classification of North American Freshwater Invertebrates,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,8,mm
6530,Gyraulus circumstriatus,Species,Armiger crista,family,confamilial,5,Gyraulus,Armiger,Planorbidae,Planorbidae,USGS,6653,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Northern Midwest (Great Lakes states),NA,NA,body_size_max,3,mm
6530,Gyraulus circumstriatus,Species,Neoplanorbis spp.,family,confamilial,5,Gyraulus,Neoplanorbis,Planorbidae,Planorbidae,USGS,6282,Ecology and Classification of North American Freshwater Invertebrates,Alabama,NA,NA,NA,body_size_max,2,mm
6530,Gyraulus circumstriatus,Species,Neoplanorbis spp.,family,confamilial,5,Gyraulus,Neoplanorbis,Planorbidae,Planorbidae,USGS,6655,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,Alabama,NA,NA,NA,body_size_max,2,mm
6730,Corbicula fluminea,Species,Corbicula fluminea,species,target,1,Corbicula,Corbicula,Cyrenidae,Corbiculidae,USGS,6291,Ecology and Classification of North American Freshwater Invertebrates,NA,In all regions where this species occurs,NA,NA,body_size_max,50,mm
6730,Corbicula fluminea,Species,Corbicula fluminea,species,target,1,Corbicula,Corbicula,Cyrenidae,Corbiculidae,USGS,6668,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,30,mm
6750,Euglesa casertana,Species,Pisidium spp.,genus,congener_synonym,4,Euglesa,Pisidium,Sphaeriidae,Sphaeriidae,USGS,6683,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
6750,Euglesa casertana,Species,Eupera cubensis,family,confamilial,5,Euglesa,Eupera,Sphaeriidae,Sphaeriidae,USGS,6682,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Gulf Coast / Delta Area (TX - FL),NA,NA,body_size_max,7,mm
6750,Euglesa casertana,Species,Musculium partumeium,family,confamilial,5,Euglesa,Musculium,Sphaeriidae,Sphaeriidae,USGS,6297,Ecology and Classification of North American Freshwater Invertebrates,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
6750,Euglesa casertana,Species,Sphaeriidae,family,confamilial,5,Euglesa,NA,Sphaeriidae,Sphaeriidae,USGS,6667,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,10,mm
6770,Euglesa compressa,Species,Pisidium spp.,genus,congener_synonym,4,Euglesa,Pisidium,Sphaeriidae,Sphaeriidae,USGS,6683,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
6770,Euglesa compressa,Species,Eupera cubensis,family,confamilial,5,Euglesa,Eupera,Sphaeriidae,Sphaeriidae,USGS,6682,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,Gulf Coast / Delta Area (TX - FL),NA,NA,body_size_max,7,mm
6770,Euglesa compressa,Species,Musculium partumeium,family,confamilial,5,Euglesa,Musculium,Sphaeriidae,Sphaeriidae,USGS,6297,Ecology and Classification of North American Freshwater Invertebrates,NA,In all regions where this species occurs,NA,NA,body_size_max,4,mm
6770,Euglesa compressa,Species,Sphaeriidae,family,confamilial,5,Euglesa,NA,Sphaeriidae,Sphaeriidae,USGS,6667,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,NA,In all regions where this species occurs,NA,NA,body_size_max,10,mm
