organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,database,field_lab,population_country,population_state,population_description,trait_group,trait_value_rank,trait_value,trait_unit
4150,Amphibalanus improvisus,species,Amphibalanus improvisus,species,target,Maximum adult width (Henry and McLauglin 1975),NEMESIS,NA,NA,NA,NA,body_size_max,NA,17,mm
3050,Boccardiella ligerica,species,Boccardiella ligerica,species,target,Blake and Woodwick 1971,NEMESIS,NA,NA,NA,NA,body_size_max,NA,18,mm
5550,Cryptochironomus,genus,Chironomus spp.,family,confamilial,"The biology of Chironomus plumosus (Diptera: Chironomidae) in Lake Winnebago, Wisconsin",USGS,NA,NA,Wisconsin,NA,body_size_max,NA,18,mm
5410,Procladius,genus,Chironomus spp.,family,confamilial,"The biology of Chironomus plumosus (Diptera: Chironomidae) in Lake Winnebago, Wisconsin",USGS,NA,NA,Wisconsin,NA,body_size_max,NA,18,mm
1010,Girardia tigrina,species,Girardia tigrina,species,target,"Ball, I.R.; Reynoldson, T.B. (1981). British Planarians: Platyhelminthes: Tricladida: keys and notes for identification of the species. Synopses of the British fauna (New Series), 19. Cambridge University Press: Cambridge. ISBN 0-521-28272-1. 141 pp.",worms,NA,NA,NA,NA,body_size_max,NA,18,mm
2510,Ilyodrilus frantzi,species,Ilyodrilus frantzi,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,20,mm
2510,Ilyodrilus frantzi,species,Ilyodrilus frantzi,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,20,mm
2270,Slavina appendiculata,species,Slavina appendiculata,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,20,mm
2270,Slavina appendiculata,species,Slavina appendiculata,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,20,mm
3110,Streblospio benedicti,species,Streblospio benedicti,species,target,"Bridges, T. S.; Heppell, S. (1996). Fitness Consequences of Maternal Effects in Streblospio Benedicti (Annelida: Polychaeta). American Zoology. 36:132-146.",worms,NA,NA,NA,NA,body_size_max,NA,20,mm
3110,Streblospio benedicti,species,Streblospio benedicti,species,target,"Kevrekidis, T. (2005). Population dynamics, reproductive biology and productivity of Streblospio shrubsolii (Polychaeta: Spionidae) in different sediments at low salinities in a Mediterranean lagoon (Monolimni Lagoon, Northern Aegean). International Review of Hydrobiology. 90(1): 100-121.",worms,NA,NA,NA,NA,body_size_max,NA,20,mm
3110,Streblospio benedicti,species,Streblospio benedicti,species,target,"Sardá, R.; Martin, D. (1993). Populations of Streblospio (Polychaeta, Spionidae) in temperate zones, demography and production. Journal of the Marine Biological Association of the United Kingdom. 73(4), 769-785.",worms,NA,NA,NA,NA,body_size_max,NA,20,mm
4950,Rhithropanopeus harrisii,species,Rhithropanopeus harrisii,species,target,"Adult male.  Adult female, 16 mm (Williams 1984)",NEMESIS,NA,NA,NA,NA,body_size_max,NA,21.3,mm
3090,Pseudopolydora kempi,species,Pseudopolydora kempi,species,target,"Japan, Sato-Okoshi 2000. San Francisco Bay animals averaged 12 mm (Light 1978).",NEMESIS,NA,NA,NA,NA,body_size_max,NA,22,mm
4670,Grandidierella japonica,species,Grandidierella japonica,species,target,"22 mm adult male, 13 mm adult female (Chapman and Dorman 1975)",NEMESIS,NA,NA,NA,NA,body_size_max,NA,22,mm
2450,Aulodrilus japonicus,species,Aulodrilus japonicus,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,25,mm
4310,Synidotea laticauda,species,Synidotea laticauda,species,target,"Spain (Cuesta et al. 1996, probably male); female, 16 mm (Netherlands, Faasse 2011).",NEMESIS,NA,NA,NA,NA,body_size_max,NA,25.3,mm
6890,Potamocorbula amurensis,species,Potamocorbula amurensis,species,target,Carlton et al. 1990,NEMESIS,NA,NA,NA,NA,body_size_max,NA,27.5,mm
2430,Aulodrilus pigueti,species,Aulodrilus pigueti,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,28,mm
2090,Dero trifida,species,Ophidonais serpentina,family,confamilial,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,USGS,NA,NA,NA,In all regions where this species occurs,body_size_max,NA,30,mm
1130,Prostoma graecense,species,Prostoma graecense,species,target,Fresh-Water Invertebrates of the United States: Protozoa to Mollusca,USGS,NA,NA,NA,In all regions where this species occurs,body_size_max,NA,30,mm
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,35,mm
2470,Bothrioneurum vejdovskyanum,species,Bothrioneurum vejdovskyanum,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,35,mm
2630,Quistadrilus multisetosus,species,Quistadrilus multisetosus,species,target,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna.",worms,NA,NA,NA,NA,body_size_max,NA,35,mm
2630,Quistadrilus multisetosus,species,Quistadrilus multisetosus,species,target,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",worms,NA,NA,NA,NA,body_size_max,NA,35,mm
6630,Melanoides tuberculata,species,Melanoides tuberculata,species,target,Thompson (2004),NEMESIS,NA,NA,NA,NA,body_size_max,NA,36,mm
