aphia_id,organism_code,target_taxon_name,target_taxon_level,lit_taxon_name,lit_taxon_level,lit_taxon_type,lit_taxon_type_ord,database,citation,life_stage,trait_group,trait_value,trait_unit,quality_status
421139,4150,Amphibalanus improvisus,Species,Amphibalanus improvisus,species,target,1,worms,"Southward, A.J. (2008). Barnacles: keys and notes for the identification of British species. Synopses of the British fauna (new series), 57. Field Studies Council: Shrewsbury, UK. ISBN 978-1-85153-270-4. viii, 140 pp.",NA,body_size_max,12,mm,unreviewed
421139,4150,Amphibalanus improvisus,Species,Amphibalanus improvisus,species,target,1,worms,"Hayward, P.J. & J.S. Ryland (Eds.). (1990). The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods. Clarendon Press: Oxford, UK. 627 pp.",NA,body_size_max,15,mm,unreviewed
421139,4150,Amphibalanus improvisus,Species,Amphibalanus improvisus,species,target,1,worms,"Southward, A.J. (2008). Barnacles: keys and notes for the identification of British species. Synopses of the British fauna (new series), 57. Field Studies Council: Shrewsbury, UK. ISBN 978-1-85153-270-4. viii, 140 pp.",NA,body_size_max,15,mm,unreviewed
482186,1010,Girardia tigrina,Species,Girardia tigrina,species,target,1,worms,"Ball, I.R.; Reynoldson, T.B. (1981). British Planarians: Platyhelminthes: Tricladida: keys and notes for identification of the species. Synopses of the British fauna (New Series), 19. Cambridge University Press: Cambridge. ISBN 0-521-28272-1. 141 pp.",NA,body_size_max,18,mm,unreviewed
689413,1130,Prostoma graecense,Species,Prostoma graecense,species,target,1,worms,"Gibson, R. (1994). Nemerteans: keys and notes for identification of the species. Synopses of the British fauna (New Series), 24. Field Studies Council: Shrewsbury. ISBN 1-85153-253-6. VII, 224 pp.",NA,body_size_max,20,mm,unreviewed
992855,2810,Sparganophilus tamesis,Species,Sparganophilus tamesis,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,200,mm,unreviewed
992890,2530,Ilyodrilus templetoni,Species,Ilyodrilus templetoni,species,target,1,worms,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. ",adult,body_size_max,14,mm,unreviewed
992890,2530,Ilyodrilus templetoni,Species,Ilyodrilus templetoni,species,target,1,worms,"Brinkhurst, R.O.; Jamieson, B.G.M. (1971). Aquatic oligochaeta of the world. [book]. Oliver & Boyd, Edinburgh, 860 pages, With contributions by D. G. Cook, D. V. Anderson, J. Van der Land.",adult,body_size_max,30,mm,unreviewed
1037336,2450,Aulodrilus japonicus,Species,Aulodrilus japonicus,species,target,1,worms,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. ",adult,body_size_max,25,mm,unreviewed
1037349,2630,Quistadrilus multisetosus,Species,Quistadrilus multisetosus,species,target,1,worms,"Timm, T.; Martin, P. (2019). Phylum Annelida. Class Clitellata: Subclass Oligochaeta. In: Thorp and Covich's Freshwater Invertebrates, ed. by Rogers, DC, Throp JH, vol. 4, pp. 364-482, Academic Press, Boston. Keys to Palearctic Fauna. ",adult,body_size_max,35,mm,unreviewed
