species,grand_N,trawls_N,trawls_present,sp_N,pct_grand_N,pct_freq
American Shad,2306470,24196,10459,74205,0.03217254072240263,0.4322615308315424
Striped Bass age-0,2306470,24196,8196,109812,0.04761041765121593,0.33873367498760126
Longfin Smelt,2306470,24196,6928,215358,0.09337125564173825,0.2863283187303687
Northern Anchovy,2306470,24196,6359,1074808,0.4659969563879001,0.2628120350471152
Threadfin Shad,2306470,24196,5611,134195,0.05818198372404584,0.23189783435278558
Delta Smelt,2306470,24196,3628,19704,0.00854292490255672,0.1499421391965614
Striped Bass age-1,2306470,24196,3597,7660,0.0033210924052773285,0.1486609356918499
Pacific Herring,2306470,24196,1463,11427,0.004954324140353007,0.06046453959332121
Striped Bass age-2,2306470,24196,1268,1677,7.270851127480522e-4,0.0524053562572326
Chinook Salmon,2306470,24196,1087,1610,6.980363932763054e-4,0.04492478095552984
Yellowfin Goby,2306470,24196,1075,2367,0.001026243567009326,0.04442883121177054
Topsmelt,2306470,24196,734,3000,0.0013006889315707554,0.030335592659943792
White Catfish,2306470,24196,713,6773,0.0029365220445095753,0.029467680608365018
Splittail,2306470,24196,700,1323,5.736038188227031e-4,0.028930401719292446
Plainfin Midshipman,2306470,24196,630,4536,0.001966641664534982,0.026037361547363202
Starry Flounder,2306470,24196,547,1271,5.5105854400881e-4,0.022607042486361383
White Sturgeon,2306470,24196,497,635,2.753124905158099e-4,0.020540585220697637
Shiner Perch,2306470,24196,381,2668,0.0011567460231435918,0.015746404364357744
White Croaker,2306470,24196,370,1518,6.581485993748022e-4,0.015291783765911721
Pacific Staghorn Sculpin,2306470,24196,363,561,2.4322883020373124e-4,0.015002479748718796
Jacksmelt,2306470,24196,359,1848,8.012243818475852e-4,0.014837163167465696
Polyorchis,2306470,24196,316,4241,0.0018387405862638577,0.013060009918994876
Common Carp,2306470,24196,286,429,1.8599851721461802e-4,0.011820135559596627
Channel Catfish,2306470,24196,158,840,3.641929008398115e-4,0.006530004959497438
Threespine Stickleback,2306470,24196,133,269,1.1662844086417772e-4,0.0054967763266655645
Mississippi Silverside,2306470,24196,130,233,1.0102017368532866e-4,0.0053727888907257396
Steelhead,2306470,24196,129,157,6.806938741886953e-5,0.005331459745412465
Shimofuri Goby,2306470,24196,97,150,6.503444657853777e-5,0.004008927095387667
Pacific Tomcod,2306470,24196,83,319,1.383065897236903e-4,0.0034303190610018184
Bat Ray,2306470,24196,71,90,3.902066794712266e-5,0.0029343693172425196
Whitebait Smelt,2306470,24196,64,283,1.2269832254484126e-4,0.002645065300049595
Bluegill,2306470,24196,51,62,2.688090458579561e-5,0.002107786410977021
Black Crappie,2306470,24196,41,54,2.3412400768273594e-5,0.0016944949578442717
Brown Smoothhound,2306470,24196,39,56,2.42795267226541e-5,0.001611836667217722
Chameleon Goby,2306470,24196,38,45,1.951033397356133e-5,0.001570507521904447
Scrippsia pacifica,2306470,24196,37,110,4.7691927490927696e-5,0.001529178376591172
Pacific Pompano,2306470,24196,32,102,4.422342367340568e-5,0.0013225326500247974
River Lamprey,2306470,24196,32,42,1.8209645041990573e-5,0.0013225326500247974
Tule Perch,2306470,24196,32,34,1.474114122446856e-5,0.0013225326500247974
