target_aphia_id,target_taxon_name,target_taxon_level,lit_aphia_id,lit_taxon_name,lit_taxon_level,lit_taxon_type,citation,trait_group,trait_value,trait_unit,Gender
359463,Sinocalanus doerrii,Species,359463,Sinocalanus doerrii,Species,target,"Shen, C.J. & D.X. Song. (1979). Calanoida. In: Shen, C.J. &  Fauna Editorial Committee (eds.). Freshwater Copepoda. Fauna Sinica, Crustacea. Science Press, Beijing. 450pp. :53-163, figs. 18-85. (In Chinese.).",maximum adult body length,1.73,mm,female
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Heron, G.A. & D.M. Damkaer. (1976). Eurytemora richingsi, a new species of deep-water calanoid copepod from the Arctic Ocean. Proceedings of the Biological Society of Washington 89(8):127-136, figs. 1-17. (25-vi-1976)",maximum adult body length,1.65,mm,male
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Heron, G.A. & D.M. Damkaer. (1976). Eurytemora richingsi, a new species of deep-water calanoid copepod from the Arctic Ocean. Proceedings of the Biological Society of Washington 89(8):127-136, figs. 1-17. (25-vi-1976)",maximum adult body length,1.9,mm,female
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Nielsen, T.G. & P.J. Hansen. (1999). Dyreplankton i danske farvande. Miljø- og Energiministeriet, Danmarks Miljøundersøgelser. ",maximum adult body length,1.1,mm,male
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Rose, M. (1933). Copépodes pélagiques. Faune de France, Paris. 26:1-374, figs. 1-456.",maximum adult body length,1.15,mm,female
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Rose, M. (1933). Copépodes pélagiques. Faune de France, Paris. 26:1-374, figs. 1-456.",maximum adult body length,1.15,mm,male
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Breemen, P.J. van. (1908). VIII. Copepoden. In: Nordisches Plankton, Zoologischer Teil, Vierter Band, Verlag von Lipsius & Tischer, Kiel. 4(8):1-264, figs. 1-251.",maximum adult body length,1.15,mm,
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Breemen, P.J. van. (1908). VIII. Copepoden. In: Nordisches Plankton, Zoologischer Teil, Vierter Band, Verlag von Lipsius & Tischer, Kiel. 4(8):1-264, figs. 1-251.",maximum adult body length,1.2,mm,male
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Breemen, P.J. van. (1908). VIII. Copepoden. In: Nordisches Plankton, Zoologischer Teil, Vierter Band, Verlag von Lipsius & Tischer, Kiel. 4(8):1-264, figs. 1-251.",maximum adult body length,1.4,mm,female
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Nielsen, T.G. & P.J. Hansen. (1999). Dyreplankton i danske farvande. Miljø- og Energiministeriet, Danmarks Miljøundersøgelser. ",maximum adult body length,1.5,mm,female
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Conway, D.V.P. (2012). Marine zooplankton of southern Britain. Part 2: Arachnida, Pycnogonida, Cladocera, Facetotecta, Cirripedia and Copepoda. In: John, A.W.G. (ed.). Occasional Publications. Marine Biological Association of the United Kingdom, Plymouth, United Kingdom. 26:163 pp.",maximum adult body length,1.65,mm,female
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Conway, D.V.P. (2012). Marine zooplankton of southern Britain. Part 2: Arachnida, Pycnogonida, Cladocera, Facetotecta, Cirripedia and Copepoda. In: John, A.W.G. (ed.). Occasional Publications. Marine Biological Association of the United Kingdom, Plymouth, United Kingdom. 26:163 pp.",maximum adult body length,1.65,mm,male
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.65,mm,male
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Hirst, A.G. & T. Kiørboe. (2014). Macroevolutionary patterns of sexual size dimorphism in copepods. Proceedings of the Royal Society Biological Sciences Series B. 281(1791).",maximum adult body length,1.65,mm,female
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Hirst, A.G. & T. Kiørboe. (2014). Macroevolutionary patterns of sexual size dimorphism in copepods. Proceedings of the Royal Society Biological Sciences Series B. 281(1791).",maximum adult body length,1.65,mm,male
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Breemen, P.J. van. (1908). VIII. Copepoden. In: Nordisches Plankton, Zoologischer Teil, Vierter Band, Verlag von Lipsius & Tischer, Kiel. 4(8):1-264, figs. 1-251.",maximum adult body length,1.65,mm,
1416974,Eurytemora affinis affinis,Subspecies,1416974,Eurytemora affinis affinis,Subspecies,target,"Razouls, C., N. Desreumaux, J. Kouwenberg & F. de Bovée. (2005). Biodiversity of Marine Planktonic Copepods (morphology, geographical distribution and biological data). Sorbonne University, CNRS. ",maximum adult body length,1.73,mm,female
