AphiaID,Taxon,Status,Rank,Kingdom,Phylum,Class,Order,Family,Genus,Source
149771,Acanthocyclops,accepted,Genus,Animalia,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,worms
104108,Acartia,accepted,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,worms
346070,Acartiella sinensis,accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartiella,worms
148370,Daphnia,accepted,Genus,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,worms
234062,Diaphanosoma,accepted,Genus,Animalia,Arthropoda,Branchiopoda,Ctenopoda,Sididae,Diaphanosoma,worms
226635,Hyperacanthomysis longirostris,accepted,Species,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Hyperacanthomysis,worms
226583,Neomysis kadiakensis,accepted,Species,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Neomysis,worms
226693,Neomysis mercedis,accepted,Species,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Neomysis,worms
355153,Pseudodiaptomus forbesi,accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Pseudodiaptomidae,Pseudodiaptomus,worms
359463,Sinocalanus doerrii,accepted,Species,Animalia,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,worms
157683,Tortanus,accepted,Genus,Animalia,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,worms
148379,Bosmina (Bosmina) longirostris,accepted,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Bosminidae,Bosmina,worms
1416974,Eurytemora affinis affinis,accepted,Subspecies,Animalia,Arthropoda,Copepoda,Calanoida,Temoridae,Eurytemora,worms
346621,Limnoithona tetraspina,accepted,Species,Animalia,Arthropoda,Copepoda,Cyclopoida,Cyclopettidae,Limnoithona,worms
