organism_code,species_name,indiv_n_all,indiv_prop_all,rank_prop_all,rank_no,indiv_n_D28A-L,indiv_n_D4-L,indiv_n_D7-C,indiv_prop_D28A-L,indiv_prop_D4-L,indiv_prop_D7-C
4090,Cyprideis sp. A,258343.04,0.022555535557938537,0.9518072289156626,13,257514.44,823.79,4.81,0.02248319175969529,7.192384450254278e-5,4.199537407072564e-7
1290,mermithid sp. A,51945.54,0.004535285620802166,0.9317269076305221,18,3033.71,35653.81,13258.02,2.648685785282767e-4,0.003112879600824487,0.0011575374414494013
3330,Hediste limnicola,34514.59,0.0030134160456293684,0.9076305220883534,24,16419.88,16362.13,1732.58,0.0014335946004083713,0.001428552536265784,1.5126890895521378e-4
1230,Dorylaimus sp. A,9118.67,7.961371261486564e-4,0.8634538152610441,35,6780.52,1802.91,535.24,5.919968270146292e-4,1.5740931365041988e-4,4.673098548360747e-5
4050,Candona sp. A,4666.68,4.074406907866402e-4,0.8232931726907631,45,4469.56,197.12,0,3.9023044517994286e-4,1.7210245606697377e-5,0
1270,Actinolaiminae sp. A,3836.6,3.349676760077879e-4,0.8072289156626506,49,2881.45,955.15,0,2.5157499088584697e-4,8.339268512194094e-5,0
6570,Physa sp. A,3195.59,2.790020736521209e-4,0.7951807228915663,52,3065.75,129.84,0,2.67665941907125e-4,1.1336131744995878e-5,0
4030,Isocypris sp. A,3017.69,2.6346989683885254e-4,0.7911646586345381,53,1911.9,902.26,203.53,1.6692506379588432e-4,7.877494014356116e-5,1.7769892899407046e-5
1090,turbellarian sp. A,2900.75,2.532600443568761e-4,0.7871485943775101,54,35.26,2745.29,120.2,3.0784966522531934e-6,2.3968706961044155e-4,1.0494478094181335e-5
