organism_code,taxon,aphia_id,source,rank,kingdom,phylum,class,order,family,genus,native
6890,Potamocorbula amurensis,397175,worms,Species,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Potamocorbula,0
6750,Euglesa casertana,885716,worms,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Euglesa,1
6770,Euglesa compressa,1299015,worms,Species,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Euglesa,1
6730,Corbicula fluminea,181580,worms,Species,Animalia,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,0
6630,Melanoides tuberculata,225694,worms,Species,Animalia,Mollusca,Gastropoda,Caenogastropoda,Thiaridae,Melanoides,0
6490,Fluminicola,717164,worms,Genus,Animalia,Mollusca,Gastropoda,Littorinimorpha,Lithoglyphidae,Fluminicola,1
6530,Gyraulus circumstriatus,751827,worms,Species,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Gyraulus,1
6570,Physa,181551,worms,Genus,Animalia,Mollusca,Gastropoda,NA,Physidae,Physa,1
1230,Dorylaimus,582922,worms,Genus,Animalia,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Dorylaimus,1
1130,Prostoma graecense,689413,worms,Species,Animalia,Nemertea,Hoplonemertea,Monostilifera,Prostomatidae,Prostoma,1
1010,Girardia tigrina,482186,worms,Species,Animalia,Platyhelminthes,NA,Tricladida,Dugesiidae,Girardia,1
