YearAdj,Secchi,SpecificCond,WaterTemp,DissOrthophos,DissNitrateNitrite,DissAmmonia
1975,37.22575757575758,868.226893939394,14.973484848484848,0.08235119047619048,0.28634920634920635,NA
1976,48.09469696969697,4340.329545454546,16.71212121212121,0.1019047619047619,0.4132321428571428,NA
1977,50.55681818181818,8397.637845849802,16.738636363636363,0.10845238095238095,0.6351190476190476,NA
1978,31.977272727272727,2580.2386363636365,17.102272727272727,0.10333333333333333,0.5873809523809523,NA
1979,34.48591382575758,2561.096590909091,16.753432765151516,0.08909774436090226,0.43113392857142857,0.0893568722943723
1980,36.93939393939394,1685.6666666666665,16.257575757575758,0.07640406162464985,0.3163482142857143,0.06011904761904762
1981,41.58712121212121,3573.2007575757575,17.363636363636363,0.1055952380952381,0.43476190476190474,0.09511904761904762
1982,41.30339687194526,522.3772490530303,16.292613636363637,0.07955733082706767,0.37115178571428575,0.08811904761904762
1983,44.323390151515156,212.08404356060606,16.25213068181818,0.06327976190476191,0.31866666666666665,0.07197023809523809
1984,50.426609848484844,1380.723484848485,16.916666666666664,0.07285714285714286,0.38357142857142856,0.07337061403508771
1985,61.776515151515156,3418.049242424242,16.208333333333332,0.10013095238095239,0.45371130952380956,0.10730059523809524
1986,43.309895833333336,2161.2992424242425,16.43560606060606,0.08863095238095238,0.43952380952380954,0.09857142857142857
1987,56.20040246212121,4841.381628787879,17.330018939393938,0.09827380952380953,0.5702380952380952,0.12005952380952381
1988,51.83925189393939,5926.367424242424,17.53787878787879,0.11892857142857143,0.5282142857142857,0.10536027568922306
1989,55.84635416666667,4390.42803030303,16.768939393939394,0.11416666666666667,0.47928571428571426,0.11729583333333334
1990,63.19957386363636,5467.700757575758,17.200757575757578,0.11310753968253968,0.47465892857142855,0.08943273809523809
1991,60.58333333333333,6191.185606060606,16.689393939393938,0.14214285714285715,0.6000815476190476,0.16238035714285715
1992,62.64393939393939,5400.056818181818,18.03409090909091,0.12857142857142856,0.5833077380952381,0.12005238095238095
1993,56.67424242424242,2226.9621212121215,17.34090909090909,0.08944880952380953,0.5285595238095238,0.12125297619047619
1994,72.13636363636363,4761.386363636364,16.454545454545453,0.09334273182957394,0.5624553571428571,0.14522142857142856
1995,52.88257575757576,1113.6704545454545,16.48342803030303,0.07620238095238095,0.4284404761904762,0.10024827380952381
1996,53.92424242424242,1813.394916911046,17.343939393939394,0.07761904761904762,0.5010714285714286,0.11357142857142857
1997,52.73295454545455,2393.8605128910067,17.806723484848483,0.07386309523809524,0.5440178571428571,0.08998809523809524
1998,46.15035224323322,1016.7890625,16.5533262987013,0.07283333333333333,0.4960297619047619,0.09636904761904762
1999,50.086863256218095,2138.963271103896,15.477529461279461,0.054866946778711484,0.5148949579831933,0.1130812324929972
2000,53.84583333333333,2579.810606060606,16.89121212121212,0.07345238095238095,0.49,0.13418690476190476
2001,56.800615530303034,4724.60752688172,17.02646306818182,0.08154761904761905,0.6432142857142857,0.16226190476190477
2002,52.26231060606061,3195.941524621212,16.861882102272727,0.08272857142857143,0.6115297619047619,0.1515642857142857
2003,68.07954545454545,2785.0666666666666,17.172424242424242,0.07119166666666667,0.5476190476190477,0.14405238095238096
2004,61.29545454545455,2926.098484848485,17.132954545454545,0.07892857142857143,0.6202380952380953,0.18084285714285714
2005,71.96969696969697,2521.939393939394,16.828939393939393,0.06785714285714285,0.5169047619047619,0.1267547619047619
2006,60.083333333333336,1790.3409090909092,16.90280303030303,0.052976190476190475,0.39321428571428574,0.10809523809523809
2007,77.01515151515152,3648.0227272727275,16.46969696969697,0.06142142857142857,0.6483333333333333,0.09320119047619048
2008,65.22727272727273,4050.4848484848485,16.828787878787878,0.07583333333333334,0.7852380952380953,0.08726190476190476
2009,86.44501466275659,3950.7575757575755,17.093939393939394,0.06833333333333333,0.6307142857142857,0.07593095238095238
2010,87.92424242424242,3188.2575757575755,16.265,0.06380952380952382,0.5549999999999999,0.06955119047619047
2011,97.01515151515152,1445.768465909091,16.18269649621212,0.04833333333333333,0.3279761904761905,0.05623333333333334
2012,101.69696969696969,3698.257575757576,16.884393939393938,0.07035714285714285,0.549047619047619,0.07852142857142858
2013,86.37121212121212,3682.909090909091,17.145681818181817,0.09119047619047618,0.5805547619047619,0.07913452380952381
2014,108.93939393939394,6131.492424242424,17.466212121212124,0.10773809523809524,0.6985714285714286,0.07936666666666667
2015,73.18181818181819,6087.590909090909,18.116666666666667,0.11714285714285715,0.7018607142857143,0.0804
2016,87.71212121212122,4402.401515151515,17.181136363636362,0.08,0.46548333333333336,0.07905238095238096
2017,82.93939393939394,1745.628787878788,16.512272727272727,0.08166666666666667,0.39517543859649124,0.06678571428571428
2018,109.53030303030303,4017.3333333333335,16.624545454545455,0.09635714285714286,0.5208821428571428,0.07971071428571429
2019,94.31818181818181,1920.9318181818182,16.61219696969697,0.080725,0.43004964285714287,0.06826928571428571
2020,118.65151515151516,4831.530303030303,16.67590909090909,0.09227142857142857,0.5475166666666667,0.10591974789915966
2021,116.83617424242425,5702.833333333333,17.029015151515154,0.10466666666666667,0.4956154761904762,0.053044047619047616
