year,area,american_shad,chinook_salmon,delta_smelt,longfin_smelt,northern_anchovy,pacific_herring,splittail,striped_bass,threadfin_shad
1984,17,60,0,0,0,0,0,0,60,362
1985,12,209,3,0,108,1324,10,0,276,6
1985,13,387,7,22,313,2103,5,4,611,28
1985,14,161,1,0,35,487,1,5,522,14
1985,15,166,8,76,366,82,0,2,334,174
1985,16,202,4,11,24,0,0,3,181,108
1985,17,49,2,0,0,0,0,0,8,470
1986,12,124,3,8,1724,757,1,12,805,4
1986,13,191,11,87,1621,142,0,18,255,19
1986,14,84,4,16,656,34,0,11,205,16
1986,15,167,10,93,571,0,0,9,1369,17
1986,16,400,5,9,106,0,0,1,708,50
1986,17,306,6,0,2,0,0,2,124,2566
1987,12,56,8,1,154,146,4,0,127,8
1987,13,121,11,3,184,189,1,6,98,3
1987,14,34,1,4,9,34,0,7,89,6
1987,15,227,7,256,444,8,0,7,658,101
1987,16,136,3,16,18,7,0,6,104,91
1987,17,84,0,0,10,0,0,2,52,3190
1988,12,63,1,6,127,15,4,0,116,6
1988,13,111,0,14,90,4,1,2,78,7
1988,14,23,1,0,7,3,0,2,49,29
1988,15,254,0,152,248,0,0,2,175,38
1988,16,584,0,6,26,0,0,2,47,74
1988,17,256,0,0,0,0,0,0,50,2214
1989,12,57,1,11,67,39,0,0,77,7
1989,13,151,2,145,34,1,0,0,39,5
1989,14,69,1,4,1,18,1,3,29,26
1989,15,216,0,169,251,0,0,1,233,10
1989,16,677,2,37,11,0,0,0,64,16
1989,17,174,0,0,0,0,0,0,44,6682
1990,12,211,0,0,18,53,0,0,376,36
1990,13,291,2,52,26,3,0,3,159,30
1990,14,49,1,2,6,10,0,2,55,184
1990,15,390,0,302,110,1,0,2,359,216
1990,16,1030,0,7,8,0,0,1,156,145
1990,17,1208,0,0,0,0,0,0,62,5116
1991,12,157,1,1,24,256,0,0,160,10
1991,13,138,0,49,23,108,0,6,125,23
1991,14,57,0,4,6,20,1,4,38,19
1991,15,282,0,505,37,0,0,1,268,82
1991,16,919,0,130,5,0,0,3,125,104
1991,17,409,17,0,0,0,0,0,59,2712
1992,12,63,0,0,17,232,0,0,324,21
1992,13,87,0,2,12,236,0,0,268,157
1992,14,46,0,5,1,105,0,0,66,34
1992,15,186,4,143,19,5,0,4,359,595
1992,16,947,0,5,0,4,0,0,109,208
1992,17,309,0,0,0,0,0,0,101,1726
1993,12,622,3,42,249,335,3,4,371,28
1993,13,420,2,421,150,71,0,2,221,114
1993,14,145,1,43,34,12,0,1,84,43
1993,15,815,6,523,186,0,0,4,340,949
1993,16,1366,0,44,7,0,0,0,207,790
1993,17,1128,2,0,0,0,0,0,122,4683
1994,12,111,0,4,99,207,0,0,340,77
1994,13,198,0,20,44,47,0,0,111,85
1994,14,36,0,5,15,6,0,1,39,44
1994,15,175,0,70,30,0,0,2,291,290
1994,16,239,4,2,2,0,0,0,71,167
1994,17,129,0,0,0,0,0,0,92,1152
1995,12,206,1,94,892,6,11,18,104,13
1995,13,375,2,630,1048,0,0,21,150,176
1995,14,90,1,72,301,0,0,15,56,52
1995,15,1439,0,80,282,0,0,1,93,152
1995,16,3017,2,2,33,0,0,0,28,452
1995,17,563,0,0,0,0,0,0,40,2458
1996,12,288,0,1,176,176,4,3,123,31
1996,13,221,1,50,71,0,2,2,68,35
1996,14,134,1,41,20,0,0,9,34,31
1996,15,1027,0,24,24,0,0,4,53,280
1996,16,963,1,3,1,0,0,0,31,152
1996,17,162,2,0,0,0,0,0,5,4122
1997,12,129,0,6,74,105,3,0,78,36
1997,13,359,4,67,52,34,1,1,54,131
1997,14,134,1,56,12,7,0,0,20,103
1997,15,402,2,162,146,0,0,0,137,767
1997,16,651,1,3,2,0,0,0,245,1681
1997,17,246,2,0,0,0,0,0,58,12168
1998,12,151,0,206,2976,22,0,66,846,111
1998,13,396,1,122,1731,2,0,25,452,180
1998,14,65,2,52,131,0,0,79,144,451
1998,15,611,6,6,138,0,0,2,54,196
1998,16,1147,0,1,2,0,0,0,38,1291
1998,17,1056,0,0,0,0,0,0,15,3370
1999,12,27,4,22,1099,34,1,8,260,4
1999,13,24,16,146,1188,22,2,11,131,42
1999,14,29,2,167,72,4,1,19,85,26
1999,15,170,10,401,29,0,0,1,50,245
1999,16,287,13,118,7,0,1,0,40,691
1999,17,114,0,0,0,0,0,0,49,6438
2000,12,20,0,6,1168,53,0,0,73,7
2000,13,51,2,431,771,0,0,5,25,36
2000,14,27,1,48,61,3,1,2,53,29
2000,15,293,2,221,354,0,0,1,100,30
2000,16,76,0,49,29,0,0,0,39,19
2000,17,86,2,0,0,0,0,0,109,12706
2001,12,11,1,4,112,49,36,3,183,14
2001,13,42,4,31,14,33,14,1,58,16
2001,14,27,1,24,5,36,0,10,72,19
2001,15,160,6,529,36,0,2,5,169,571
2001,16,244,5,15,1,0,1,1,107,1707
2001,17,172,2,0,3,0,0,0,58,11983
2002,12,122,0,0,85,53,34,0,16,6
2002,13,201,1,70,178,6,20,0,29,102
2002,14,45,0,11,91,4,5,0,23,1
2002,15,803,2,53,110,0,2,0,23,152
2002,16,196,1,6,10,0,1,1,23,317
2002,17,46,2,0,0,0,0,0,19,1118
2003,12,591,0,0,134,62,14,2,20,20
2003,13,847,0,23,133,19,10,0,33,4
2003,14,357,1,6,17,1,2,8,13,84
2003,15,2204,0,169,47,0,0,0,26,78
2003,16,2057,0,12,5,0,0,0,10,204
