year,area,american_shad,chinook_salmon,delta_smelt,longfin_smelt,northern_anchovy,pacific_herring,splittail,striped_bass_age_0,striped_bass_age_1,striped_bass_age_2,threadfin_shad
1987,16,136,3,16,18,7,0,6,97,6,1,91
1987,17,84,0,0,10,0,0,2,44,6,2,3190
1988,12,63,1,6,127,15,4,0,97,15,4,6
1988,13,111,0,14,90,4,1,2,55,13,10,7
1988,14,23,1,0,7,3,0,2,35,11,3,29
1988,15,254,0,152,248,0,0,2,156,19,0,38
1988,16,584,0,6,26,0,0,2,44,1,2,74
1988,17,256,0,0,0,0,0,0,22,28,0,2214
1989,12,57,1,11,67,39,0,0,55,21,1,7
1989,13,151,2,145,34,1,0,0,19,19,1,5
1989,14,69,1,4,1,18,1,3,13,11,5,26
1989,15,216,0,169,251,0,0,1,226,6,1,10
1989,16,677,2,37,11,0,0,0,59,5,0,16
1989,17,174,0,0,0,0,0,0,38,4,2,6682
1990,12,211,0,0,18,53,0,0,316,57,3,36
1990,13,291,2,52,26,3,0,3,140,16,3,30
1990,14,49,1,2,6,10,0,2,39,12,4,184
1990,15,390,0,302,110,1,0,2,328,25,6,216
1990,16,1030,0,7,8,0,0,1,151,3,2,145
1990,17,1208,0,0,0,0,0,0,40,18,4,5116
1991,12,157,1,1,24,256,0,0,139,18,3,10
1991,13,138,0,49,23,108,0,6,101,16,8,23
1991,14,57,0,4,6,20,1,4,23,10,5,19
1991,15,282,0,505,37,0,0,1,224,38,6,82
1991,16,919,0,130,5,0,0,3,120,5,0,104
1991,17,409,17,0,0,0,0,0,54,3,2,2712
1992,12,63,0,0,17,232,0,0,290,31,3,21
1992,13,87,0,2,12,236,0,0,249,16,3,157
1992,14,46,0,5,1,105,0,0,52,12,2,34
1992,15,186,4,143,19,5,0,4,328,29,2,595
1992,16,947,0,5,0,4,0,0,105,3,1,208
1992,17,309,0,0,0,0,0,0,50,36,15,1726
1993,12,622,3,42,249,335,3,4,314,49,8,28
1993,13,420,2,421,150,71,0,2,184,29,8,114
