organism_code
2550
6730
2730
4750
4610
4630
2470
3450
6890
3330
1130
3130
4230
1290
3430
4550
6630
2410
2510
2630
3050
4670
2450
2720
6810
2650
4150
1230
2810
4090
2570
2530
3370
6750
4810
6770
2490
4310
4050
2970
4510
5410
2610
2840
1270
4350
1090
4950
4030
2090
1010
2850
3090
6570
4370
4270
4410
3170
5550
1210
6490
2430
3110
2270
6530
