Citation_title,Citation_complete
A new species of Tricorythodes with notes (Ephemeroptera: Tricorythidae),"Allen, R. K. 1977. A new species of Tricorythodes with notes (Ephemeroptera: Tricorythidae). Journal of the Kansas Entomological Society 50(3):431-435."
A new stonefly from West Virginia (Plecoptera: Chloroperlidae),"Harper, P. P., and R. F. Kirchner. 1978. A new stonefly from West Virginia (Plecoptera: Chloroperlidae). Proceedings of the Entomological Society of Washington 80(3):403-406."
"A new Zoraena (Odonata: Cordulegastridae) from eastern North America, with a key","Carle, F. L. 1983. A new Zoraena (Odonata: Cordulegastridae) from eastern North America, with a key to the adult Cordulegastridae of America. Annals of the Entomological Society of America 76(1):61-68."
A parthenogenetic mayfly (Ameletus ludens Needham),"Clemens, W. A. 1922. A parthenogenetic mayfly (Ameletus ludens Needham). The Canadian Entomologist 54:77-78."
A preliminary checklist of the caddisflies (Trichoptera) of Virginia.,"Parker, C. R. and J. R. Voshell, Jr. (1981). ""A preliminary checklist of the caddisflies (Trichoptera) of Virginia."" Journal of Georgia Entomological Society 16(1): 1-7."
"A preliminary checklist of the damselflies of Virginia, with notes on distribution and seasonality","Roble, S. M. 1994. A preliminary checklist of the damselflies of Virginia, with notes on distribution and seasonality (Odonata: Zygoptera). Banisteria 4:1-23."
A preliminary list of the Arkansas Trichoptera.,"Unzicker, J. D., L. Aggus, and L. O. Warren. 1970. A preliminary list of the Arkansas Trichoptera. J. Georgia Entomological Society 5(3):167-174."
A preliminary list of the Trichoptera of British Columbia,"Ross, H. H., and G. J. Spencer. 1952. A preliminary list of the Trichoptera of British Columbia. Entomological Society of British Columbia 48:43-51."
A preliminary study of the trophic relationships of the larvae of Brachycentrus americanus (Banks),"Mecom, J. O. and K. W. Cummins (1964). ""A preliminary study of the trophic relationships of the larvae of Brachycentrus americanus (Banks) (Trichoptera: Brachycentridae)."" Transactions of the American Microscopical Society 83(2): 233-243."
A preliminary systematic study of the North American larvae of the caddisfly family Phryganeidae,"Wiggins, G. B. 1960. A preliminary systematic study of the North American larvae of the caddisfly family Phryganeidae (Trichoptera). Canadian Journal of Zoology 38:1153-1170."
"A proposal for assignment of Ceratopsyche as a subgenus of Hydropsyche, with new synonyms","Schefter, P. W., G. B. Wiggins, and J. D. Unzicker. 1986. A proposal for assignment of Ceratopsyche as a subgenus of Hydropsyche, with new synonyms and a new species (Trichoptera: Hydropsycidae). Journal of the North American Benthological Society 5(1):67"
A qualitative and quantitative study of the trichoptera of Western Lake Erie,"Marshall, A. C. 1939. A qualitative and quantitative study of the trichoptera of Western Lake Erie (As indicated by light trap material). Annals Entomological Society of America 32:665-688."
A redescription of Ordobrevia nubifera (Fall) (Coleoptera: Elmidae),"Shepard, W. D. 1992. A redescription of Ordobrevia nubifera (Fall) (Coleoptera: Elmidae). Pan-Pacific Entomogist 68(2):140-143."
A redescription of Siphlonisca aerodromia Needham (Ephemeroptera: Siphlonuridae,"Burian, S. K., and K. E. Gibbs. 1988. A redescription of Siphlonisca aerodromia Needham (Ephemeroptera: Siphlonuridae). Aquatic Insects 10(4):237-248."
"A review of Goerita (Trichoptera: Goeridae), with description of a new species","Parker, C. R. 1998. A review of Goerita (Trichoptera: Goeridae), with description of a new species. Insecta Mundi 12(3-4):227-238."
A review of Perlinella Banks (Plecoptera: Perlidae),"Kondratieff, B. C., R. F. Kirchner, and K. W. Stewart. 1988. A review of Perlinella Banks (Plecoptera: Perlidae). Annals of the Entomological Society of America 81(1):19-27."
"A review of the caddisfly genus Agarodes, with descriptions of new species","Ross, H. H., and D. C. Scott. 1974. A review of the caddisfly genus Agarodes, with descriptions of new species (Trichoptera: Sericostomatidae). Journal of the Georgia Entomological Society 9(3):147-155."
A review of the genus Ochrotrichia (Trichoptera: Hydroptilidae),"Denning, D. G., and R. I. Blickle. 1972. A review of the genus Ochrotrichia (Trichoptera: Hydroptilidae). Annals of the Entomological Society of America 65(1):141-151."
"A review of the genus Remenus Ricker, with the description of two new species","Kondratieff, B. C., and C. H. Nelson. 1995. A review of the genus Remenus Ricker (Plecoptera: Perlodidae), with the description of two new species. Proceedings of the Entomological Society of Washington 97(3):596-602."
A review of the genus Soliperla (Plecoptera: Peltoperlidae),"Stark, B. P. 1983. A review of the genus Soliperla (Plecoptera: Peltoperlidae). Great Basin Naturalist 43(1):30-44."
A review of the mayfly genus Cinygmula McDunnough,"Slater, J. and B. C. Kondratieff. 2004. A review of the mayfly genus Cinygmula McDunnough (Ephemeroptera: Heptageniidae) in Colorado. Journal of the Kansas Entomological Society 77(2): 121-126."
A review of the Nearctic Lepidostomatidae (Trichoptera),"Ross, H. H. 1946. A review of the Nearctic Lepidostomatidae (Trichoptera). Annals of the Entomological Society of America 39(2):265-191."
A review of the North American species of Megarcys Klapalek (Plecoptera: Perlodidae),"VanWieren, B. J., B. C. Kondratieff, and B. P. Stark. 2001. A review of the North American species of Megarcys Klapalek (Plecoptera: Perlodidae). Proceedings of the Entomological Society of Washington 103(2):409-427."
