Citation_title,Citation_complete
A new Heptagenia (Ephemeroptera: Heptageniidae) from the,"Evans, J. L., W. F. Botts Jr. and R. W. Flowers. 1985. A New Heptagenia (Ephemeroptera: Heptageniidae) from the Susquehanna and Delaware Rivers from Eastern North America. Annals of the Entomological Society of America 78:5-7."
A new Lanthus (Odonata: Gomphidae) from eastern North America with adult and nymphal keys,"Carle, F. L. 1980. A new Lanthus (Odonata: Gomphidae) from eastern North America with adult and nymphal keys to American Octogomphines. Annals of the Entomological Society of America 73:172-179."
A new larval record of Perlinella drymo (Plecoptera: Perlidae) for Michigan,"Bright, E. 1996. A new larval record of Perlinella drymo (Plecoptera: Perlidae) for Michigan. The Great Lakes Entomologist 29(1):39-42."
A new mayfly genus from North Carolina.,"Traver, J. R. 1931. A new mayfly genus from North Carolina. The Canadian Entomologist 63:103-109."
A new microcaddisfly genus from the interior highlands of Arkansas,"Mathis, M. L., and D. E. Bowles. 1989. A new microcaddisfly genus (Trichoptera: Hydroptilidae) from the interior highlands of Arkansas, U.S.A. Journal of the New York Entomological Society 97(2):187-191."
A new nearctic Paracloeodes (Ephemeroptera: Baetidae),"McCafferty, W. P., and D. R. Lenat. draft. A new nearctic Paracloeodes (Ephemeroptera: Baetidae)."
A new northeastern caddisfly species of the genus Phylocentropus (Trichoptera: Psychomyiidae).,"Root, D. W. (1965). ""A new northeastern caddisfly species of the genus Phylocentropus (Trichoptera: Psychomyiidae)."" Bulletin of the Brooklyn Entomogical Society 59: 85-87."
A new Paraleuctra (Plecoptera; Leuctridae) from the Cascade and Coast ranges,"Harper, P. P., and R. C. Wildman. 1985. A new Paraleuctra (Plecoptera; Leuctridae) from the Cascade and Coast ranges. Canadian Journal of Zoology 63:982-983."
A new parthenogenetic species of Serratella with bizarre oviposition and behavior,"Edmunds, G. F. Jr., and M. Lawson. draft. A new parthenogenetic species of Serratella with bizarre oviposition and behavior (Ephemeroptera: Ephemerellidae)."
A new small minnow mayfly (Ephemeroptera: Baetidae) from Utah,"Wiersema, N. A., C. R. Nelson, and K. F. Kuehnl. draft. A new small minnow mayfly (Ephemeroptera: Baetidae) from Utah."
A new southeastern species of Baetisca (Ephemeroptera: Baetiscidae).,"Schneider, R. F., and L. Berner. 1963. A new southeastern species of Baetisca (Ephemeroptera: Baetiscidae). The Florida Entomologist 46(2):183-187."
A new species and new generic synonym of the Nearctic caddisfly genus Homoplectra,"Weaver, J. S., III. 1985. A new species and new generic synonym of the Nearctic caddisfly genus Homoplectra (Trichoptera: Hydropsychidae). Entomological News 96(2):71-77."
"A new species and new synonym in the genus Psychoronia, with significant records for caddisflies","Ruiter, D. E. 1999. A new species and new synonym in the genus Psychoronia (Limnephilidae), with significant records for caddisflies (Trichoptera) from western North America. Great Basin Naturalist 59(2):160-168."
A new species in the Polycentropus cinereus group from Arkansas and Texas,"Moulton, S. R., II, and K. W. Stewart. 1993. A new species in the Polycentropus cinereus group (Trichoptera: Polycentropodidae) from Arkansas and Texas. Entomological News 104(1):35-38."
A new species of Acroneuria from Kentucky and new records of stoneflies from Eastern North America,"Kondratieff, B. C., and R. F. Kirchner. 1988. A new species of Acroneuria from Kentucky (Plecoptera : Perlidae) and new records of stoneflies from Eastern North America. Journal of the Kansas Entomological Society 61(2):201-207."
A new species of Acroneuria from Virginia (Plecoptera: Perlidae),"Kondratieff, B. C., and R. F. Kirchner. 1993. A new species of Acroneuria from Virginia (Plecoptera: Perlidae). Journal of the New York Entomogical Society 101(4):550-554."
"A new species of Ameletus (Ephemeroptera, Siphlonuridae) from Southern Ontario.","Harper, F. 1970. A new species of Ameletus (Ephemeroptera, Siphlonuridae) from Southern Ontario. Canadien Journal of Zoology 48:603-604."
A new species of Ameletus (Ephemeroptera: Siphlonuridae) from eastern North America,"Burrows, W. L. 1987. A new species of Ameletus (Ephemeroptera: Siphlonuridae) from eastern North America. Proceedings of the Entomological Society of Washington 89(2):284-287."
A new species of Ameletus (Ephemeroptera: Siphlonuridae) from Western Virginia,"Carle, F. L. 1978. A new species of Ameletus (Ephemeroptera: Siphlonuridae) from Western Virginia. Annals Entomological Society of America 71(4):581-584."
